user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GROS22-1_SAMEA110290302_MAG_00000117	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.87, 0.822; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.85, 0.762; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.75, 0.823; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 85.08, 0.785; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.66, 0.691; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.59, 0.706; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.47, 0.627; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.45, 0.737; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 84.41, 0.685; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 84.28, 0.735; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.04, 0.741; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.31, 0.721; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.08, 0.721; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.85, 0.728; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 82.07, 0.676; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.44, 0.46; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.24, 0.519	72.64	11	0.99165	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290303_MAG_00000008	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 89.08, 0.777; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.91, 0.86; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.92, 0.783; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 85.14, 0.8; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.75, 0.708; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.61, 0.751; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.59, 0.729; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 84.46, 0.681; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.4, 0.617; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 84.21, 0.738; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.1, 0.725; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.63, 0.731; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.34, 0.743; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.97, 0.763; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 82.06, 0.681; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.39, 0.465; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.24, 0.538	79.66	11	0.98804	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290303_MAG_00000114	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	N/A	N/A	N/A	N/A	N/A	GCA_002788515.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002788515	89.07	0.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	taxonomic classification defined by topology and ANI	N/A	GCF_013407165.1, s__Nitrosopumilus oxyclinae, 95.0, 83.0, 0.77; GCF_013407145.1, s__Nitrosopumilus cobalaminigenes, 95.0, 82.94, 0.793; GCA_014384555.1, s__Nitrosopumilus sp014384555, 95.0, 82.82, 0.777; GCF_000299395.1, s__Nitrosopumilus sediminis, 95.0, 82.66, 0.772; GCA_024276695.1, s__Nitrosopumilus sp024276695, 95.0, 82.61, 0.735; GCA_024644105.1, s__Nitrosopumilus sp024644105, 95.0, 82.54, 0.803; GCA_013203245.1, s__Nitrosopumilus sp013203245, 95.0, 82.49, 0.716; GCF_000242875.2, s__Nitrosopumilus salaria, 95.0, 82.39, 0.611; GCA_016784625.1, s__Nitrosopumilus sp016784625, 95.0, 82.09, 0.667; GCA_013043295.1, s__Nitrosopumilus sp013043295, 95.0, 82.06, 0.824; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 81.88, 0.756; GCF_013407185.1, s__Nitrosopumilus ureiphilus, 95.0, 81.69, 0.746; GCA_905479565.1, s__Nitrosopumilus sp905479565, 95.0, 81.65, 0.7; GCA_013215285.1, s__Nitrosopumilus sp013215285, 95.0, 81.55, 0.72; GCA_013911135.1, s__Nitrosopumilus sp013911135, 95.0, 81.47, 0.667; GCA_905616385.1, s__Nitrosopumilus sp905616385, 95.0, 81.33, 0.74; GCF_014078525.1, s__Nitrosopumilus sp014078525, 95.0, 81.26, 0.711; GCF_000956175.1, s__Nitrosopumilus adriaticus, 95.0, 81.23, 0.754; GCF_003175215.1, s__Nitrosopumilus zosterae, 95.0, 81.12, 0.728; GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 81.12, 0.706; GCA_000746765.1, s__Nitrosopumilus sp000746765, 95.0, 81.02, 0.604; GCA_001543015.1, s__Nitrosopumilus sp001543015, 95.0, 81.0, 0.63; GCA_018674605.1, s__Nitrosopumilus sp018674605, 95.0, 80.99, 0.727; GCA_905612275.1, s__Nitrosopumilus sp905612275, 95.0, 80.97, 0.575; GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 80.97, 0.641; GCA_002317795.1, s__Nitrosopumilus sp002317795, 95.0, 80.96, 0.628; GCF_006740685.1, s__Nitrosopumilus sp006740685, 95.0, 80.95, 0.678; GCA_902514275.1, s__Nitrosopumilus sp902514275, 95.0, 80.95, 0.644; GCA_902514095.1, s__Nitrosopumilus sp902514095, 95.0, 80.88, 0.678; GCA_022565935.1, s__Nitrosopumilus sp022565935, 95.0, 80.83, 0.751; GCA_905612485.1, s__Nitrosopumilus sp905612485, 95.0, 80.77, 0.684; GCA_018668425.1, s__Nitrosopumilus sp018668425, 95.0, 80.76, 0.708; GCF_000299365.1, s__Nitrosopumilus koreensis, 95.0, 80.74, 0.676; GCA_022564385.1, s__Nitrosopumilus sp022564385, 95.0, 80.73, 0.621; GCA_018263505.1, s__Nitrosopumilus sp018263505, 95.0, 80.68, 0.657; GCA_013867245.1, s__Nitrosopumilus sp013867245, 95.0, 80.68, 0.664; GCF_000018465.1, s__Nitrosopumilus maritimus, 95.0, 80.64, 0.674; GCA_002730325.1, s__Nitrosopumilus sp002730325, 95.0, 80.63, 0.745; GCA_016125975.1, s__Nitrosopumilus sp016125975, 95.0, 80.59, 0.67; GCA_014075315.1, s__Nitrosopumilus sp014075315, 95.0, 80.56, 0.552; GCF_000875775.1, s__Nitrosopumilus piranensis, 95.0, 80.54, 0.659; GCA_003331425.1, s__Nitrosopumilus sp002690535, 95.0, 80.51, 0.672; GCA_905612295.1, s__Nitrosopumilus sp905612295, 95.0, 80.49, 0.709; GCA_003702525.1, s__Nitrosopumilus sp003702525, 95.0, 80.44, 0.681; GCA_020431995.1, s__Nitrosopumilus sp020431995, 95.0, 80.43, 0.524; GCA_003702495.1, s__Nitrosopumilus sp003702495, 95.0, 80.38, 0.684; GCA_001437625.1, s__Nitrosopumilus sp001437625, 95.0, 80.35, 0.707; GCA_022117465.1, s__Nitrosopumilus limneticus, 95.0, 80.3, 0.684; GCA_003702545.1, s__Nitrosopumilus sp003702545, 95.0, 80.28, 0.669; GCF_002156965.1, s__Nitrosopumilus catalinensis, 95.0, 80.22, 0.631; GCF_001541925.1, s__Nitrosopumilus sp001541925, 95.0, 80.18, 0.613; GCA_003702465.1, s__Nitrosopumilus sp003702465, 95.0, 80.08, 0.761; GCA_021268355.1, s__Nitrosopumilus sp021268355, 95.0, 80.07, 0.669; GCA_018657375.1, s__Nitrosopumilus sp018657375, 95.0, 79.83, 0.664; GCA_013002265.1, s__Nitrosopumilus sp013002265, 95.0, 79.69, 0.577; GCA_014384445.1, s__Nitrosopumilus sp014384445, 95.0, 79.59, 0.531; GCA_008080815.1, s__Nitrosopumilus sp008080815, 95.0, 78.77, 0.604; GCA_002506665.1, s__Nitrosopumilus sp002506665, 95.0, 77.77, 0.299; GCA_007571135.1, s__Nitrosopumilus sp007571135, 95.0, 77.41, 0.246	90.01	11	0.99164	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290304_MAG_00000043	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 90.54, 0.908; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 90.16, 0.873; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.04, 0.718; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.99, 0.845; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 83.58, 0.5; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.54, 0.761; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 83.52, 0.782; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.45, 0.754; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.31, 0.634; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.25, 0.599; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.2, 0.669; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.68, 0.782; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 82.43, 0.803; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.16, 0.824; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.53, 0.669; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.49, 0.563; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.56, 0.669	41.51	11	0.99294	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290305_MAG_00000109	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 90.17, 0.897; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 89.73, 0.924; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.28, 0.71; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.54, 0.483; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 83.87, 0.786; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.82, 0.821; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.78, 0.69; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.67, 0.738; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.26, 0.6; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.12, 0.662; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.06, 0.821; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.0, 0.814; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.7, 0.793; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.29, 0.828; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.13, 0.738; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 80.83, 0.531; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.48, 0.607	39.06	11	0.99255	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290306_MAG_00000090	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 90.33, 0.908; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 90.24, 0.954; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.96, 0.679; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.83, 0.473; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.56, 0.832; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.48, 0.763; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.24, 0.748; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.15, 0.725; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.74, 0.626; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.36, 0.656; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.33, 0.595; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.16, 0.802; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.05, 0.779; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 83.01, 0.832; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.78, 0.702; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.78, 0.511; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.9, 0.603	45.51	11	0.99214	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290307_MAG_00000073	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 90.54, 0.865; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 90.37, 0.925; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.82, 0.707; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 85.24, 0.451; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.83, 0.699; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.14, 0.835; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.9, 0.737; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.83, 0.744; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.8, 0.571; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.75, 0.617; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.71, 0.639; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.27, 0.797; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.1, 0.782; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 83.05, 0.789; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 82.03, 0.677; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.56, 0.541; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.42, 0.571	40.23	11	0.9924	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290308_MAG_00000159	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 89.0, 0.804; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.91, 0.839; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.44, 0.57; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 83.64, 0.535; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.6, 0.657; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 83.53, 0.661; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.5, 0.725; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.36, 0.554; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.27, 0.496; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.1, 0.539; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 82.93, 0.675; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 82.6, 0.689; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.54, 0.686; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.35, 0.711; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.36, 0.593; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.59, 0.521; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 80.33, 0.461	57.4	11	0.98793	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290308_MAG_00000167	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	GCA_018334095.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp018334095	92.71	0.864	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 93.45, 0.96; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 84.67, 0.616; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 83.13, 0.746; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.06, 0.768; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.0, 0.836; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 82.94, 0.74; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 82.66, 0.486; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 82.54, 0.599; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 82.47, 0.599; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 82.23, 0.559; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 81.9, 0.751; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 81.82, 0.797; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 81.73, 0.825; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 80.71, 0.638; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.24, 0.559; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 80.08, 0.435	42.79	11	0.99763	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290309_MAG_00000103	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.3, 0.804; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.16, 0.877; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.64, 0.635; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.13, 0.605; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.04, 0.694; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.02, 0.694; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.98, 0.728; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.48, 0.505; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.44, 0.581; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.42, 0.674; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.34, 0.515; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 82.74, 0.714; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.65, 0.708; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.36, 0.748; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.38, 0.611; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 80.81, 0.465; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.71, 0.555	52.15	11	0.98821	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290309_MAG_00000125	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	GCF_000220175.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	93.55	0.939	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 93.28, 0.87; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.47, 0.607; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 83.23, 0.761; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.19, 0.773; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.15, 0.834; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.02, 0.745; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 83.01, 0.59; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 82.94, 0.595; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 82.89, 0.591; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 82.68, 0.551; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 82.36, 0.798; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.08, 0.794; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 81.95, 0.769; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 80.91, 0.668; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 80.27, 0.591; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 80.09, 0.466	68.38	11	0.99641	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
